income_group,age_target,country_name,partition_size,country_code,income_group_p,pop_2019,proportion,deaths,vaccine_n,t_start,R0,reduction1,reduction2,coverage,mode,efficacy,hs_constraints,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,timing1,timing2,immunosenescence,seeding_cases,reduce_inf,sensitivity_run,directory_out,deaths_cf,y,cost,dapd_2021,income_group_size,country
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Australia,25364307,AUS,HIC_AUS,1212261796,15.085190662,101076.48,6019144,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,63045,3061003,0.020596048930468597,1043649600,HIC_AUS
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Belgium,11484055,BEL,HIC_BEL,1212261796,15.085190662,101076.48,6019144,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,28544,1385913,0.020596048930468597,1043649600,HIC_BEL
HIC,1_1_1_1_0_0_1_1_1_1_0_0_0_0_0_0_0,Canada,37589262,CAN,HIC_CAN,1212261796,47.295482392,7102.32,18915547,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,164079,14222418,0.011536635158462684,1043649600,HIC_CAN
HIC,1_1_1_1_0_0_1_1_1_1_0_0_0_0_0_0_0,Chile,18952038,CHL,HIC_CHL,1212261796,47.295482392,7102.32,18915547,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,82727,7170766,0.011536635158462684,1043649600,HIC_CHL
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Germany,83132799,DEU,HIC_DEU,1212261796,15.085190662,101076.48,6019144,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,206632,10032593,0.020596048930468597,1043649600,HIC_DEU
HIC,1_1_1_1_0_0_1_1_1_1_0_0_0_0_0_0_0,Spain,47076781,ESP,HIC_ESP,1212261796,47.295482392,7102.32,18915547,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,205492,17812153,0.011536635158462684,1043649600,HIC_ESP
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,France,67059887,FRA,HIC_FRA,1212261796,15.085190662,101076.48,6019144,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,166682,8092889,0.020596048930468597,1043649600,HIC_FRA
HIC,1_1_1_1_0_0_1_1_1_1_0_0_0_0_0_0_0,United Kingdom,66834405,GBR,HIC_GBR,1212261796,47.295482392,7102.32,18915547,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,291735,25287723,0.011536635158462684,1043649600,HIC_GBR
HIC,1_1_1_1_0_0_1_1_1_1_0_0_0_0_0_0_0,Greece,10716322,GRC,HIC_GRC,1212261796,47.295482392,7102.32,18915547,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,46777,4054669,0.011536635158462684,1043649600,HIC_GRC
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Italy,60297396,ITA,HIC_ITA,1212261796,15.085190662,101076.48,6019144,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,149873,7276782,0.020596048930468597,1043649600,HIC_ITA
HIC,1_1_1_1_0_0_1_1_1_1_0_0_0_0_0_0_0,Japan,126264931,JPN,HIC_JPN,1212261796,47.295482392,7102.32,18915547,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,551152,47774087,0.011536635158462684,1043649600,HIC_JPN
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,"Korea, Rep.",51709098,KOR,HIC_KOR,1212261796,15.085190662,101076.48,6019144,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,128526,6240333,0.020596048930468597,1043649600,HIC_KOR
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,Netherlands,17332850,NLD,HIC_NLD,1212261796,15.085190662,101076.48,6019144,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,43082,2091755,0.020596048930468597,1043649600,HIC_NLD
HIC,1_1_1_1_0_0_1_1_1_1_0_0_0_0_0_0_0,Poland,37970874,POL,HIC_POL,1212261796,47.295482392,7102.32,18915547,60,2.5,0.5599999999999999,0,0.8,Combined,0.9,Present,365,5000,7,327,30,60,357,1,60,1,higher_Rt2,sensitivity,225354.61,165745,14366806,0.011536635158462684,1043649600,HIC_POL
