income_group,age_target,country_name,partition_size,country_code,income_group_p,pop_2019,proportion,deaths,vaccine_n,t_start,R0,reduction1,reduction2,coverage,mode,efficacy,hs_constraints,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,timing1,timing2,immunosenescence,seeding_cases,reduce_inf,sensitivity_run,directory_out,deaths_cf,y,cost,dapd_2021,income_group_size,country
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Australia,25364307,AUS,HIC_AUS,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,39332,2865598,0.013725643965427659,1043649600,HIC_AUS
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Belgium,11484055,BEL,HIC_BEL,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,17808,1297441,0.013725643965427659,1043649600,HIC_BEL
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Canada,37589262,CAN,HIC_CAN,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,58289,4246743,0.013725643965427659,1043649600,HIC_CAN
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Chile,18952038,CHL,HIC_CHL,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,29389,2141155,0.013725643965427659,1043649600,HIC_CHL
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Germany,83132799,DEU,HIC_DEU,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,128913,9392141,0.013725643965427659,1043649600,HIC_DEU
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Spain,47076781,ESP,HIC_ESP,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,73001,5318620,0.013725643965427659,1043649600,HIC_ESP
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,France,67059887,FRA,HIC_FRA,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,103989,7576263,0.013725643965427659,1043649600,HIC_FRA
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,United Kingdom,66834405,GBR,HIC_GBR,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,103639,7550788,0.013725643965427659,1043649600,HIC_GBR
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Greece,10716322,GRC,HIC_GRC,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,16618,1210704,0.013725643965427659,1043649600,HIC_GRC
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Italy,60297396,ITA,HIC_ITA,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,93503,6812253,0.013725643965427659,1043649600,HIC_ITA
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Japan,126264931,JPN,HIC_JPN,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,195798,14265104,0.013725643965427659,1043649600,HIC_JPN
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,"Korea, Rep.",51709098,KOR,HIC_KOR,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,80185,5841968,0.013725643965427659,1043649600,HIC_KOR
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Netherlands,17332850,NLD,HIC_NLD,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,26878,1958223,0.013725643965427659,1043649600,HIC_NLD
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Poland,37970874,POL,HIC_POL,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,58881,4289857,0.013725643965427659,1043649600,HIC_POL
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Romania,19356544,ROU,HIC_ROU,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,30016,2186855,0.013725643965427659,1043649600,HIC_ROU
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,Saudi Arabia,34268528,SAU,HIC_SAU,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,53140,3871575,0.013725643965427659,1043649600,HIC_SAU
HIC,0_1_1_1_0_0_0_0_0_0_0_0_0_0_0_0_0,United States,328239523,USA,HIC_USA,1212261796,14.122195322,6075.6,5649268,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,83610.09,508998,37083701,0.013725643965427659,1043649600,HIC_USA
LIC,0_0_1_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Afghanistan,38041754,AFG,LIC_AFG,664957848,19.500817211,4452.96,7771870,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,96943.95,70370,5934762,0.011857322311065477,625790062,LIC_AFG
LIC,0_0_1_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Burundi,11530580,BDI,LIC_BDI,664957848,19.500817211,4452.96,7771870,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,96943.95,21329,1798846,0.011857322311065477,625790062,LIC_BDI
LIC,0_0_1_0_0_0_0_0_0_0_0_1_1_1_1_1_1,Burkina Faso,20321378,BFA,LIC_BFA,664957848,19.500817211,4452.96,7771870,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,96943.95,37591,3170268,0.011857322311065477,625790062,LIC_BFA
LIC,0_0_1_0_0_0_0_0_0_0_0_1_1_1_1_1_1,"Congo, Dem. Rep.",86790567,COD,LIC_COD,664957848,19.500817211,4452.96,7771870,60,2.5,0.5599999999999999,0.4,0.8,Infection,0.9,Present,365,5000,7,327,30,60,357,1,60,1,lower_Rt2,sensitivity,96943.95,160547,13539896,0.011857322311065477,625790062,LIC_COD
