income_group,age_target,pop_2019,proportion,deaths,life_years_lost,vaccine_n,t_start,R0,reduction1,reduction2,coverage,immunosenescence,mode,hs_constraints,efficacy,duration_R,duration_V,dur_vacc_delay,vaccine_start,vaccine_period,seeding_cases,timing1,timing2,deaths_cf,life_years_lost_cf,deaths_averted_2021,additional_life_years_2021,vaccine_n_2021,dapd_2021
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0,1212261796,0,162146.76,2531260.34,0,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,0,0,0,NA
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1,1212261796,4.855969688,122506.32,2345849.21,1934954,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,961092,4495336.589043787,47093652.28237152,0.02040810074014505
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1,1212261796,8.750529398,109293.18,2220213.66,3489197,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,1281448,7541400.138732738,84863459.87176223,0.015100114960389372
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1,1212261796,15.085190662,92644.34,1983758.23,6018957,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,1685103,13274317.823647788,146297602.5993484,0.011518322720672563
HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1212261796,21.324503611,82924.34,1804074.38,8512844,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,1920766,17630795.15791168,206807048.3702348,0.00928772019685404
HIC,0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1,1212261796,28.148589366,67447.74,1460822.82,11240340,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,2296000,25953010.21001971,272987675.9975493,0.008410636090475425
HIC,0_0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1,1212261796,34.529905626,56938.27,1209717.35,13793900,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,2550805,32041121.570972193,334874283.2790822,0.007617201819807031
HIC,0_0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1,1212261796,40.200072927,47835.04,988623.74,16057465,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,2771515,37401588.30582667,389864100.846528,0.007108925889770552
HIC,0_0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1,1212261796,46.607887412000004,38316.7,772281.22,18623047,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,3002289,42646863.74275399,452007690.4146954,0.006642119290593361
HIC,0_0_0_0_0_0_0_0_1_1_1_1_1_1_1_1_1,1212261796,53.663436299,29068.05,558635.11,21440910,60,2.5,0.5599999999999999,0.19999999999999996,0.8,0.5,Combined,Present,0.9,365,5000,7,327,30,60,60,357,162146.76,2531260.34,3226525,47826764.08309426,520433069.3388586,0.00619969250627919
