run_number,deaths,life_years_lost,vaccine_n
22305,162146.76,2531260.34,0
22306,108457.08,1874008.8,0
22307,78534.81,1534151.2,0
22308,57088.9,1329418.54,0
22309,157413.39,2451439.19,1963964
22310,95514.36,1665002.35,3204381
22311,70799.11,1388873.34,3966882
22312,54916.03,1265464.71,5936488
22313,154600.92,2417776.27,1941826
22314,98452.99,1693088.08,3242433
22315,71331.24,1382090.03,3989177
22316,54002.84,1240110.78,5277652
22317,149416.53,2331010.81,3904926
22318,83978.56,1456770.28,6446333
22319,62536.53,1216644,7953227
22320,51457.81,1168481.83,11218999
22321,153853.49,2425141.5,1844939
22322,96827.96,1671173.63,3065545
22323,70036.42,1359574,3847527
22324,53049.72,1214291.72,4811520
22325,148728.88,2339443.4,3809284
22326,81443.26,1420118.59,6269331
22327,60552.69,1181468.52,7814485
22328,50216.47,1135710.97,10747586
22329,145714.65,2303198.86,3786255
22330,83018.91,1425528.63,6308172
22331,59792.29,1150203.13,7836935
22332,49080.05,1107787.77,10089148
22333,139979.81,2208052.81,5751077
22334,62752.12,1088526.7,9511115
22335,47148.37,911552.48,11800342
22336,45740.1,1019410.62,16026846
22337,155140.37,2413700.58,1862830
22338,97067.01,1673621.63,2671153
22339,70196.75,1356264.82,3641078
22340,52940.86,1210011.49,4353641
22341,149981.67,2327082.95,3827307
22342,82160.46,1431068.55,5875002
22343,61044.22,1184737.47,7611230
22344,50183,1133521.44,10287674
22345,141474.3,2198897.61,5767475
22346,65605.52,1136123.3,9116721
22347,48933.91,938704.55,11594427
22348,45482.16,1009918.34,15565937
22349,146191.4,2297802.58,3708078
22350,81934.47,1411957.96,5736939
22351,58756.2,1127122.36,7489232
22352,47582.17,1067741.09,9163434
22353,140507.77,2203244.34,5672059
22354,60649.34,1058585.41,8940749
22355,45194.41,871895.45,11455196
22356,43636.09,965631.61,15098325
22357,137369.24,2165442.87,5648841
22358,30700.65,526370.96,8978886
22359,17123.59,323334.23,11475982
22360,41726.91,921557.81,14441883
22361,130769.44,2056814.64,7614733
22362,2114.42,37065.85,12183565
22363,1540.81,29741.21,15444647
22364,35248.88,766038.39,20376092
22365,152063.49,2371831.49,2270828
22366,100688.35,1717125.68,3093027
22367,73295.59,1408575.38,3530560
22368,53727.97,1226429.37,3865170
22369,146769,2282948.95,4233257
22370,87381.35,1503225.54,6296370
22371,65316.23,1260698.6,7497490
22372,51250.7,1157101.94,9802454
22373,137588.34,2143866.48,6175182
22374,74599.29,1275291.59,9538433
22375,56141.94,1073213.37,11484468
22376,47057.05,1045167.44,15078984
22377,126817.46,2001200.81,8018867
22378,44287.34,755864.13,12603174
22379,34550.86,655082.79,15335007
22380,39044.22,848731.28,19890343
22381,144577.16,2246950.21,4132032
22382,88433.35,1504616.37,5766209
22383,64308.35,1221652.94,7175257
22384,48936.46,1096257.89,8216685
22385,138754.63,2149668.58,6095562
22386,73312.15,1260174.39,8969092
22387,55040.71,1050673.09,11138334
22388,45794.42,1013345.27,14153079
22389,128799.72,1998744.08,8037659
22390,53552.06,913637.25,12210109
22391,40689.11,766177.46,15126279
22392,39496.34,857048.12,19434636
22393,134614.55,2115991.19,5977415
22394,70041.48,1189997.13,8829198
22395,50392.92,948930.68,11018650
22396,41893.29,919651.45,13031511
22397,128051.89,2007444.91,7940851
22398,45570.57,784856.11,12035382
22399,34810.64,659821.43,14985375
22400,35674.57,770786.39,18963394
22401,124053.26,1956803.4,7918206
22402,5352.88,90653.06,12073984
22403,2851.91,53246.44,15008854
22404,29579.91,635749.01,18306326
22405,115168.15,1812817,9881581
22406,824.69,14576.45,15274301
22407,686.17,13445.97,18972089
22408,13113.92,275843.09,24241240
22409,152350.25,2371953.21,2733103
22410,99142.3,1693713.93,3411673
22411,72469.3,1394567.88,3512176
22412,54221.94,1234355.85,3212603
22413,147273.55,2286858.47,4696946
22414,85998.85,1483327.96,6613590
22415,64569.22,1248984.37,7477067
22416,51890.73,1168860.74,9151085
22417,138624.52,2156643.29,6637910
22418,73456.42,1260080.25,9855033
22419,55554.84,1065376.21,11463804
22420,47966.66,1063473.32,14426349
22421,128174.84,2019048.62,8482004
22422,46051.32,790243.14,12919957
22423,35875.41,684091.63,15311553
22424,40874.14,887162.47,19235963
22425,117158.59,1840513.44,10344641
22426,798.96,14171.18,15591365
22427,669.41,13162.49,18951231
22428,17961.35,376563.25,23590522
22429,142121.36,2210830.29,5002143
22430,91284.92,1538375.8,6501455
22431,67154.48,1270907.98,7041328
22432,50590.42,1128511.74,7076418
22433,136450.05,2116166.81,6967843
22434,78077,1328348.54,9705501
22435,59186.96,1126221.79,11007137
22436,47974.4,1058566.26,13012114
22437,126466.89,1964945.49,8907095
22438,64481.03,1089397.14,12947345
22439,49379.27,930298.39,14993942
22440,43177.71,936008.78,18294841
22441,113933.51,1796169.56,10751582
22442,26095.2,440467.37,16013802
22443,21759.93,407320.2,18840601
22444,29959.2,632248.84,23101091
22445,134056.72,2077236.2,6865451
22446,77953.11,1310559.15,9173446
22447,57367.58,1072539.17,10681325
22448,45161.02,987529.89,11426868
22449,127763.01,1972726.02,8830818
22450,63232.19,1075122.16,12376839
22451,48288.56,908349.23,14648468
22452,41808.43,903142.58,17362960
22453,116633.65,1803984.98,10770087
22454,40355.01,680399.84,15618342
22455,31673.37,587251.2,18634587
22456,32560.55,687491.24,22640539
22457,123048.52,1930982.03,8710011
22458,54928.14,922452.39,12238087
22459,40045.08,741989.9,14528504
22460,34347.27,732842.2,16238199
22461,115753.68,1811208.84,10673950
22462,28839.1,492510.39,15441856
22463,23091.68,432110.47,18495079
22464,21554,450852.31,22174529
22465,110084.1,1735484.59,10650621
22466,1146.3,19740.9,15481260
22467,821.92,15765.19,18514858
22468,8506.91,176613,21520264
22469,96964.03,1527149.8,12616453
22470,631.69,11254.37,18683661
22471,547.28,10831.41,22481557
22472,1903.4,39647.56,27456204
22473,142813.59,2218100.21,2982873
22474,100401.69,1705208.27,3322658
22475,72965.89,1397175.84,3316292
22476,54003.09,1222641.73,2642836
22477,137273.6,2125955.92,4946314
22478,87277.4,1496227.94,6528940
22479,65093.92,1252793.12,7282811
22480,51643.76,1156412.54,8580309
22481,127198.58,1973759.08,6887456
22482,75011.64,1279383.92,9769260
22483,56309.28,1074887.21,11268676
22484,47710.61,1050914.63,13857183
22485,114839.87,1808169.3,8732183
22486,49301.84,841391.31,12833702
22487,37893.24,719652.21,15117433
22488,40495.99,872301.08,18667672
22489,94855.41,1493990.4,10596014
22490,881.68,15542.38,15504168
22491,721.04,14096.33,18756892
22492,15357.33,318383.07,23023307
22493,49458.36,788606.89,12864127
22494,649.25,11527.92,18596477
22495,558.29,11016.1,22286912
22496,1419.66,29526.02,26883588
22497,132750.25,2056621.81,5715003
22498,91374.05,1534603.39,6731310
