run_number,deaths,life_years_lost,vaccine_n
5577,162146.76,2531260.34,0
5578,108457.08,1874008.8,0
5579,124987.59,3011225.52,0
5580,136696.91,4048090.27,0
5581,157413.39,2451439.19,1963964
5582,95514.36,1665002.35,3204381
5583,105690.28,2489163.47,3966688
5584,130592.56,3805874.62,5940481
5585,154600.92,2417776.27,1941826
5586,98452.99,1693088.08,3242433
5587,103745.04,2389793.15,3988908
5588,128073.49,3706081.58,5277876
5589,149416.53,2331010.81,3904926
5590,83978.56,1456770.28,6446333
5591,91009.84,2098056.51,7953990
5592,121175.86,3448103.4,11213837
5593,153853.49,2425141.5,1844939
5594,96827.96,1671173.63,3065545
5595,101999.94,2349496.97,3847784
5596,125563.99,3614127.34,4811017
5597,148728.88,2339443.4,3809284
5598,81443.26,1420118.59,6269331
5599,88313.53,2036676.29,7815029
5600,117950.58,3333821.58,10747767
5601,145714.65,2303198.86,3786255
5602,83018.91,1425528.63,6308172
5603,86945.94,1974573.91,7833418
5604,115078.04,3235668.87,10088235
5605,139979.81,2208052.81,5751077
5606,62752.12,1088526.7,9511115
5607,68956.29,1569215.2,11802699
5608,106431.82,2937201.04,16023929
5609,155140.37,2413700.58,1862830
5610,97067.01,1673621.63,2671153
5611,102318.57,2360145.01,3641418
5612,125504.02,3623768.03,4350633
5613,149981.67,2327082.95,3827307
5614,82160.46,1431068.55,5875002
5615,89085.18,2057814.23,7607857
5616,118073.34,3349504.68,10287662
5617,141474.3,2198897.61,5767475
5618,65605.52,1136123.3,9116721
5619,71371.18,1622792.48,11598062
5620,105844.49,2920432.55,15564302
5621,146191.4,2297802.58,3708078
5622,81934.47,1411957.96,5736939
5623,85643.27,1948047.95,7488274
5624,111433.76,3118544.11,9162251
5625,140507.77,2203244.34,5672059
5626,60649.34,1058585.41,8940749
5627,66420.29,1515780.78,11454409
5628,101387.57,2779718.73,15098573
5629,137369.24,2165442.87,5648841
5630,30700.65,526370.96,8978886
5631,26765.72,605923.73,11475110
5632,96869.88,2640783.08,14438289
5633,130769.44,2056814.64,7614733
5634,2114.42,37065.85,12183565
5635,2222.75,50227.74,15444601
5636,81526.28,2174561.05,20378555
5637,152063.49,2371831.49,2270828
5638,100688.35,1717125.68,3093027
5639,110814.34,2589407,3531432
5640,127499.3,3689988.84,3864705
5641,146769,2282948.95,4233257
5642,87381.35,1503225.54,6296370
5643,95074.39,2193060.38,7497778
5644,120772.03,3437835.15,9800337
5645,137588.34,2143866.48,6175182
5646,74599.29,1275291.59,9538433
5647,81426.76,1851781.12,11483664
5648,109696.88,3040604.64,15079091
5649,126817.46,2001200.81,8018867
5650,44287.34,755864.13,12603174
5651,51125.06,1149404.75,15330330
5652,90024.32,2409822.5,19892761
5653,144577.16,2246950.21,4132032
5654,88433.35,1504616.37,5766209
5655,93467.53,2128101.03,7172722
5656,114968.92,3242068.53,8214962
5657,138754.63,2149668.58,6095562
5658,73312.15,1260174.39,8969092
5659,80069.59,1826947.22,11138336
5660,106767.36,2956555.05,14155101
5661,128799.72,1998744.08,8037659
5662,53552.06,913637.25,12210109
5663,59354.45,1331953.05,15124325
5664,91138.86,2446293.87,19428080
5665,134614.55,2115991.19,5977415
5666,70041.48,1189997.13,8829198
5667,73378.85,1645490.8,11018392
5668,97281.8,2649655.99,13025928
5669,128051.89,2007444.91,7940851
5670,45570.57,784856.11,12035382
5671,51506.92,1162668.31,14984762
5672,82500.1,2198208.77,18964707
5673,124053.26,1956803.4,7918206
5674,5352.88,90653.06,12073984
5675,4262.17,94701.6,15008182
5676,68862.73,1818547.41,18307535
5677,115168.15,1812817,9881581
5678,824.69,14576.45,15274301
5679,905.9,20454.18,18974576
5680,30923.63,797085.47,24237977
5681,152350.25,2371953.21,2733103
5682,99142.3,1693713.93,3411673
5683,109520.11,2561285.83,3509782
5684,128656.11,3723491.09,3212438
5685,147273.55,2286858.47,4696946
5686,85998.85,1483327.96,6613590
5687,94302.55,2181522.49,7477085
5688,122291.17,3482588.57,9146483
5689,138624.52,2156643.29,6637910
5690,73456.42,1260080.25,9855033
5691,80869.66,1845877.23,11462640
5692,111857.17,3104133.76,14424309
5693,128174.84,2019048.62,8482004
5694,46051.32,790243.14,12919957
5695,53044.9,1197898.42,15309431
5696,94172.13,2524825.23,19233912
5697,117158.59,1840513.44,10344641
5698,798.96,14171.18,15591365
5699,883.67,20016.09,18950532
5700,42145.37,1084873.64,23585525
5701,142121.36,2210830.29,5002143
5702,91284.92,1538375.8,6501455
5703,97706.16,2227246.09,7041115
5704,118960.61,3362551.53,7074490
5705,136450.05,2116166.81,6967843
5706,78077,1328348.54,9705501
5707,86171.55,1969305.83,11007081
5708,112027.91,3114748.51,13010855
5709,126466.89,1964945.49,8907095
5710,64481.03,1089397.14,12947345
5711,71615.72,1612924.86,14993165
5712,99703.48,2693564.46,18287634
5713,113933.51,1796169.56,10751582
5714,26095.2,440467.37,16013802
5715,32870.59,736470.38,18840870
5716,69051.42,1792138.47,23099592
5717,134056.72,2077236.2,6865451
5718,77953.11,1310559.15,9173446
5719,83385.26,1878382.96,10681065
5720,105086.76,2889229.97,11425364
5721,127763.01,1972726.02,8830818
5722,63232.19,1075122.16,12376839
5723,70273.45,1588852.71,14648136
5724,96566.94,2607622.15,17364681
5725,116633.65,1803984.98,10770087
5726,40355.01,680399.84,15618342
5727,46494.35,1034988.08,18634020
5728,74808.85,1951518.61,22637924
5729,123048.52,1930982.03,8710011
5730,54928.14,922452.39,12238087
5731,58688.89,1303364.96,14527744
5732,79425.85,2098000.4,16235528
5733,115753.68,1811208.84,10673950
5734,28839.1,492510.39,15441856
5735,34803.1,783260.39,18497933
5736,50422.63,1301133.06,22171386
5737,110084.1,1735484.59,10650621
5738,1146.3,19740.9,15481260
5739,1107.82,24672.38,18515213
5740,20069.54,511894.94,21513821
5741,96964.03,1527149.8,12616453
5742,631.69,11254.37,18683661
5743,702.54,15961.1,22480767
5744,4276.76,108839.09,27451821
5745,142813.59,2218100.21,2982873
5746,100401.69,1705208.27,3322658
5747,110542.71,2578383.31,3316928
5748,127941.36,3693268.83,2641818
5749,137273.6,2125955.92,4946314
5750,87277.4,1496227.94,6528940
5751,95060.93,2190703.21,7282307
5752,121492.69,3449122.85,8578176
5753,127198.58,1973759.08,6887456
5754,75011.64,1279383.92,9769260
5755,81961.75,1864229.12,11268389
5756,111037.01,3069857.06,13855787
5757,114839.87,1808169.3,8732183
5758,49301.84,841391.31,12833702
5759,55866.15,1256852.3,15114977
5760,93086.16,2483689.4,18670167
5761,94855.41,1493990.4,10596014
5762,881.68,15542.38,15504168
5763,960.22,21668.18,18759386
5764,36051.71,920703.76,23015205
5765,49458.36,788606.89,12864127
5766,649.25,11527.92,18596477
5767,718.54,16284.81,22286048
5768,3139.37,79967.19,26879894
5769,132750.25,2056621.81,5715003
5770,91374.05,1534603.39,6731310
5771,97916.38,2230417.19,6825033
5772,119581.52,3369441.13,5854809
5773,126880.95,1959480.55,7679882
5774,78365.12,1329596.19,9934879
5775,86496.76,1976044.14,10791635
5776,112958.39,3130600.15,11787945
5777,115949.59,1794346.88,9619869
5778,65383.81,1103201.48,13176577
5779,72588.25,1636296.78,14778095
5780,101385.55,2730773.9,17066030
5781,100490.43,1582316.43,11465274
5782,33410.94,564678.98,16241837
5783,40262.47,901815.53,18625395
5784,76143.74,1969595.09,21875670
5785,64339.45,1019763.02,13327366
5786,649.01,11543.38,18913219
5787,719.19,16329.47,22265271
5788,5296.5,132858.26,26225868
5789,121901.7,1886768.51,7984676
5790,83588.67,1384097.27,9826888
5791,89885.41,2021182.88,10358561
5792,109247.37,3001840.99,9717299
5793,115435.5,1780084.75,9947725
5794,70783.38,1184012.09,13030229
5795,78652.76,1775236.73,14323264
5796,102121.49,2759582.91,15653410
5797,102410.64,1582112.09,11889621
5798,56991.91,946620.27,16271777
5799,63856.17,1420596.45,18309364
5800,88060.23,2305067.77,20929262
5801,75652.31,1197612.16,13733897
5802,15615.22,259790.17,19334354
5803,20986.12,467674.4,22154708
5804,24807.72,618854.8,25744338
5805,112366.65,1731447.87,9847237
5806,69472.66,1147080.82,12495644
5807,74701.48,1659355.59,13996065
5808,93660.21,2495864.69,14067693
5809,105004.59,1610784.17,11810406
5810,55503.39,927511.32,15698638
5811,62190.84,1388579.83,17962897
5812,84632.79,2214911.25,20003288
5813,87345.23,1342505.08,13751650
5814,30495.9,505306.08,18940069
5815,36184.16,797643.35,21949094
5816,41611.12,1046428.23,25283125
5817,98835.05,1547840.46,11692696
5818,41867.43,691155.14,15560085
5819,45446.74,998322.06,17846778
5820,35896.68,909566.4,18877422
5821,89320.78,1394286.76,13656115
5822,17227.29,290128.52,18764423
5823,21895.49,490641.43,21810470
5824,8781.54,219302.26,24812746
5825,49838.75,796565.94,13633087
5826,740.99,12936.95,18801648
5827,781.01,17526,21829207
5828,2127.02,54648.03,24154538
5829,18416.9,295610.36,15596565
5830,592.9,10561.5,22005470
5831,656.38,14920.58,25795617
5832,1254.87,33313.46,30093435
5833,140294.78,2144896.21,2937069
5834,95440.81,1621070.86,3151206
5835,103657.12,2390502.23,3059282
5836,127108.5,3665495.6,2224411
5837,134537.53,2050045.84,4901042
5838,81929.38,1406041.09,6355058
5839,90375.11,2077923.03,7023589
5840,120493.72,3414133.65,8160675
5841,124385.81,1898369.84,6844261
