sensitivity_run,strategy,income_group,target_group,deaths_averted_per_m,dap100d_2021,total_deaths_averted_per_m,dap100d_total
default,strategy1_cov2,HIC,all,831,0.76,650,0.59
default,strategy1_cov2,UMIC,all,531,0.48,650,0.59
default,strategy1_cov2,LMIC,all,730,0.66,650,0.59
default,strategy1_cov2,LIC,all,482,0.44,650,0.59
default,strategy2_cov2,HIC,old_middle,1389,1.26,1324,1.2
default,strategy2_cov2,UMIC,old_middle,1270,1.14,1324,1.2
default,strategy2_cov2,LMIC,old_middle,1374,1.25,1324,1.2
default,strategy2_cov2,LIC,old_middle,1221,1.11,1324,1.2
default,strategy3_cov2,HIC,old_middle,2238,0.9,1386,1.25
default,strategy3_cov2,UMIC,old_middle,1285,1.09,1386,1.25
default,strategy3_cov2,LMIC,old_middle,1237,1.91,1386,1.25
default,strategy3_cov2,LIC,old_middle,918,2.56,1386,1.25
default,strategy4_cov2,HIC,all,3234,0.46,513,0.46
default,strategy5_cov2,LMIC,all,1323,0.55,597,0.53
default,strategy5_cov2,LIC,all,1074,0.45,597,0.53
default,strategy6_cov2,HIC,all,3231,0.63,1308,0.56
default,strategy6_cov2,UMIC,all,898,0.47,1308,0.56
default,strategy6_cov2,LMIC,all,1099,0.58,1308,0.56
default,strategy6_cov2,LIC,all,482,0.44,1308,0.56
reduce_efficacy,strategy1_cov2,HIC,all,649,0.59,524,0.48
reduce_efficacy,strategy1_cov2,UMIC,all,413,0.38,524,0.48
reduce_efficacy,strategy1_cov2,LMIC,all,614,0.56,524,0.48
reduce_efficacy,strategy1_cov2,LIC,all,375,0.34,524,0.48
reduce_efficacy,strategy2_cov2,HIC,old_middle,1249,1.13,1182,1.07
reduce_efficacy,strategy2_cov2,UMIC,old_middle,1136,1.02,1182,1.07
reduce_efficacy,strategy2_cov2,LMIC,old_middle,1233,1.12,1182,1.07
reduce_efficacy,strategy2_cov2,LIC,old_middle,1035,0.94,1182,1.07
reduce_efficacy,strategy3_cov2,HIC,old_middle,2026,0.82,1245,1.12
reduce_efficacy,strategy3_cov2,UMIC,old_middle,1149,0.97,1245,1.12
reduce_efficacy,strategy3_cov2,LMIC,old_middle,1118,1.73,1245,1.12
reduce_efficacy,strategy3_cov2,LIC,old_middle,790,2.21,1245,1.12
reduce_efficacy,strategy4_cov2,HIC,all,3233,0.46,513,0.46
reduce_efficacy,strategy5_cov2,LMIC,all,1080,0.45,484,0.43
reduce_efficacy,strategy5_cov2,LIC,all,829,0.35,484,0.43
reduce_efficacy,strategy6_cov2,HIC,all,2927,0.57,1103,0.47
reduce_efficacy,strategy6_cov2,UMIC,all,703,0.37,1103,0.47
reduce_efficacy,strategy6_cov2,LMIC,all,903,0.48,1103,0.47
reduce_efficacy,strategy6_cov2,LIC,all,375,0.34,1103,0.47
immunosenescence,strategy1_cov2,HIC,all,752,0.68,609,0.55
immunosenescence,strategy1_cov2,UMIC,all,494,0.45,609,0.55
immunosenescence,strategy1_cov2,LMIC,all,699,0.64,609,0.55
immunosenescence,strategy1_cov2,LIC,all,448,0.41,609,0.55
immunosenescence,strategy2_cov2,HIC,old_middle,1072,0.97,1082,0.98
immunosenescence,strategy2_cov2,UMIC,old_middle,1019,0.92,1082,0.98
immunosenescence,strategy2_cov2,LMIC,old_middle,1166,1.06,1082,0.98
immunosenescence,strategy2_cov2,LIC,old_middle,1003,0.92,1082,0.98
immunosenescence,strategy3_cov2,HIC,old_middle,1900,0.77,1135,1.02
immunosenescence,strategy3_cov2,UMIC,old_middle,1036,0.88,1135,1.02
immunosenescence,strategy3_cov2,LMIC,old_middle,1015,1.57,1135,1.02
immunosenescence,strategy3_cov2,LIC,old_middle,689,1.93,1135,1.02
immunosenescence,strategy4_cov2,HIC,all,3234,0.46,513,0.46
immunosenescence,strategy5_cov2,LMIC,all,1269,0.53,571,0.51
immunosenescence,strategy5_cov2,LIC,all,1005,0.42,571,0.51
immunosenescence,strategy6_cov2,HIC,all,3229,0.63,1266,0.54
immunosenescence,strategy6_cov2,UMIC,all,843,0.44,1266,0.54
immunosenescence,strategy6_cov2,LMIC,all,1051,0.55,1266,0.54
immunosenescence,strategy6_cov2,LIC,all,448,0.41,1266,0.54
mode_disease,strategy1_cov2,HIC,all,338,0.31,289,0.26
mode_disease,strategy1_cov2,UMIC,all,219,0.2,289,0.26
mode_disease,strategy1_cov2,LMIC,all,340,0.31,289,0.26
mode_disease,strategy1_cov2,LIC,all,272,0.25,289,0.26
mode_disease,strategy2_cov2,HIC,old_middle,1135,1.02,1118,1.01
mode_disease,strategy2_cov2,UMIC,old_middle,1099,0.99,1118,1.01
mode_disease,strategy2_cov2,LMIC,old_middle,1159,1.05,1118,1.01
mode_disease,strategy2_cov2,LIC,old_middle,991,0.9,1118,1.01
mode_disease,strategy3_cov2,HIC,old_middle,1821,0.74,1188,1.07
mode_disease,strategy3_cov2,UMIC,old_middle,1105,0.94,1188,1.07
mode_disease,strategy3_cov2,LMIC,old_middle,1092,1.69,1188,1.07
mode_disease,strategy3_cov2,LIC,old_middle,812,2.27,1188,1.07
mode_disease,strategy4_cov2,HIC,all,2083,0.3,330,0.3
mode_disease,strategy5_cov2,LMIC,all,703,0.29,319,0.28
mode_disease,strategy5_cov2,LIC,all,593,0.25,319,0.28
mode_disease,strategy6_cov2,HIC,all,1533,0.3,625,0.27
mode_disease,strategy6_cov2,UMIC,all,378,0.2,625,0.27
mode_disease,strategy6_cov2,LMIC,all,571,0.3,625,0.27
mode_disease,strategy6_cov2,LIC,all,272,0.25,625,0.27
lower_Rt2,strategy1_cov2,HIC,all,785,0.71,562,0.51
lower_Rt2,strategy1_cov2,UMIC,all,493,0.45,562,0.51
lower_Rt2,strategy1_cov2,LMIC,all,518,0.47,562,0.51
lower_Rt2,strategy1_cov2,LIC,all,645,0.59,562,0.51
lower_Rt2,strategy2_cov2,HIC,old_middle,694,0.63,756,0.68
lower_Rt2,strategy2_cov2,UMIC,old_middle,710,0.64,756,0.68
lower_Rt2,strategy2_cov2,LMIC,old_middle,732,0.67,756,0.68
lower_Rt2,strategy2_cov2,LIC,old_middle,1176,1.07,756,0.68
lower_Rt2,strategy3_cov2,HIC,old_middle,1221,0.49,767,0.69
lower_Rt2,strategy3_cov2,UMIC,old_middle,721,0.61,767,0.69
lower_Rt2,strategy3_cov2,LMIC,old_middle,625,0.97,767,0.69
lower_Rt2,strategy3_cov2,LIC,old_middle,761,2.13,767,0.69
lower_Rt2,strategy4_cov2,HIC,all,1664,0.24,264,0.24
lower_Rt2,strategy5_cov2,LMIC,all,1249,0.52,635,0.57
lower_Rt2,strategy5_cov2,LIC,all,1834,0.77,635,0.57
lower_Rt2,strategy6_cov2,HIC,all,1663,0.33,1075,0.46
lower_Rt2,strategy6_cov2,UMIC,all,956,0.5,1075,0.46
lower_Rt2,strategy6_cov2,LMIC,all,1046,0.55,1075,0.46
lower_Rt2,strategy6_cov2,LIC,all,645,0.59,1075,0.46
higher_Rt2,strategy1_cov2,HIC,all,954,0.87,809,0.74
higher_Rt2,strategy1_cov2,UMIC,all,566,0.51,809,0.74
higher_Rt2,strategy1_cov2,LMIC,all,1070,0.97,809,0.74
higher_Rt2,strategy1_cov2,LIC,all,441,0.4,809,0.74
higher_Rt2,strategy2_cov2,HIC,old_middle,1969,1.78,1936,1.75
