strategy,income_group,age_target,deaths_averted_per_m,dap100d_2021,total_deaths_averted_per_m,dap100d_total
strategy1_cov1,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,588,0.529,561,0.505
strategy1_cov1,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,401,0.36,561,0.505
strategy1_cov1,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,708,0.637,561,0.505
strategy1_cov1,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,558,0.502,561,0.505
strategy2_cov1,HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1319,1.186,1685,1.516
strategy2_cov1,UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1156,1.475,1685,1.516
strategy2_cov1,LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1821,3.993,1685,1.516
strategy2_cov1,LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,811,3.27,1685,1.516
strategy2_cov1,HIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,0,0,1685,1.516
strategy2_cov1,UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,120,0.366,1685,1.516
strategy2_cov1,LMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,497,0.757,1685,1.516
strategy2_cov1,LIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,525,0.608,1685,1.516
strategy3_cov1,HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2021,1.186,1720,1.547
strategy3_cov1,UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1156,1.475,1720,1.547
strategy3_cov1,LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1821,3.993,1720,1.547
strategy3_cov1,LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,811,3.27,1720,1.547
strategy3_cov1,HIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,541,0.682,1720,1.547
strategy3_cov1,UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,134,0.366,1720,1.547
strategy3_cov1,LMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,161,0.757,1720,1.547
strategy3_cov1,LIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,70,0.608,1720,1.547
strategy4_cov1,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,3709,0.529,588,0.529
strategy4_cov1,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,588,0.529
strategy4_cov1,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,588,0.529
strategy4_cov1,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,588,0.529
strategy5_cov1,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,680,0.612
strategy5_cov1,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,0,0,680,0.612
strategy5_cov1,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1513,0.637,680,0.612
strategy5_cov1,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1192,0.502,680,0.612
strategy6_cov1,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2720,0.529,1204,0.51
strategy6_cov1,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,696,0.36,1204,0.51
strategy6_cov1,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1219,0.637,1204,0.51
strategy6_cov1,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,558,0.502,1204,0.51
strategy1_cov2,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,870,0.783,981,0.883
strategy1_cov2,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,545,0.49,981,0.883
strategy1_cov2,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1556,1.4,981,0.883
strategy1_cov2,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,538,0.484,981,0.883
strategy2_cov2,HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1398,1.256,1814,1.633
strategy2_cov2,UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1155,1.475,1814,1.633
strategy2_cov2,LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1813,3.993,1814,1.633
strategy2_cov2,LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,811,3.27,1814,1.633
strategy2_cov2,UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,125,0.382,1814,1.633
strategy2_cov2,LMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,823,1.255,1814,1.633
strategy2_cov2,LIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,449,0.52,1814,1.633
strategy4_cov2,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,4231,0.603,671,0.603
strategy5_cov2,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,3049,1.284,1269,1.141
strategy5_cov2,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,1230,0.518,1269,1.141
strategy6_cov2,HIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,4156,0.808,2055,0.87
strategy6_cov2,UMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,946,0.492,2055,0.87
strategy6_cov2,LMIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,2614,1.36,2055,0.87
strategy6_cov2,LIC,1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1,538,0.484,2055,0.87
strategy3_cov2,HIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,2024,1.186,1762,1.586
strategy3_cov2,UMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1155,1.475,1762,1.586
strategy3_cov2,LMIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,1813,3.993,1762,1.586
strategy3_cov2,LIC,0_0_0_0_0_0_0_0_0_0_0_0_0_1_1_1_1,811,3.27,1762,1.586
strategy3_cov2,HIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,555,0.699,1762,1.586
strategy3_cov2,UMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,140,0.383,1762,1.586
strategy3_cov2,LMIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,269,1.268,1762,1.586
strategy3_cov2,LIC,0_0_0_1_1_1_1_1_1_1_1_1_1_0_0_0_0,58,0.502,1762,1.586
